Dim,Method,Value,Time
17,"tournament_selection, pmx_crossover, mutation_swap",667,0.61
17,"tournament_selection, pmx_crossover, mutation_inverse",667,0.54
17,"tournament_selection, pmx_crossover, mutation_scramble",667,0.49
17,"tournament_selection, ordered_crossover, mutation_swap",667,0.48
17,"tournament_selection, ordered_crossover, mutation_inverse",667,0.51
17,"tournament_selection, ordered_crossover, mutation_scramble",667,0.51
17,"rank_selection, pmx_crossover, mutation_swap",667,0.55
17,"rank_selection, pmx_crossover, mutation_inverse",667,0.56
17,"rank_selection, pmx_crossover, mutation_scramble",667,0.58
17,"rank_selection, ordered_crossover, mutation_swap",667,0.62
17,"rank_selection, ordered_crossover, mutation_inverse",667,0.54
17,"rank_selection, ordered_crossover, mutation_scramble",667,0.57
17,"rank_selection_linear_ranking, pmx_crossover, mutation_swap",667,0.67
17,"rank_selection_linear_ranking, pmx_crossover, mutation_inverse",673,0.68
17,"rank_selection_linear_ranking, pmx_crossover, mutation_scramble",673,0.71
17,"rank_selection_linear_ranking, ordered_crossover, mutation_swap",667,0.71
17,"rank_selection_linear_ranking, ordered_crossover, mutation_inverse",667,0.67
17,"rank_selection_linear_ranking, ordered_crossover, mutation_scramble",667,0.69
23,"tournament_selection, pmx_crossover, mutation_swap",1600,0.86
23,"tournament_selection, pmx_crossover, mutation_inverse",1581,0.79
23,"tournament_selection, pmx_crossover, mutation_scramble",1581,0.79
23,"tournament_selection, ordered_crossover, mutation_swap",1581,0.74
23,"tournament_selection, ordered_crossover, mutation_inverse",1600,0.79
23,"tournament_selection, ordered_crossover, mutation_scramble",1600,0.81
23,"rank_selection, pmx_crossover, mutation_swap",1581,0.8
23,"rank_selection, pmx_crossover, mutation_inverse",1581,0.83
23,"rank_selection, pmx_crossover, mutation_scramble",1581,0.88
23,"rank_selection, ordered_crossover, mutation_swap",1581,0.81
23,"rank_selection, ordered_crossover, mutation_inverse",1609,0.85
23,"rank_selection, ordered_crossover, mutation_scramble",1581,0.7
23,"rank_selection_linear_ranking, pmx_crossover, mutation_swap",1581,0.95
23,"rank_selection_linear_ranking, pmx_crossover, mutation_inverse",1583,1.05
23,"rank_selection_linear_ranking, pmx_crossover, mutation_scramble",1581,1.01
23,"rank_selection_linear_ranking, ordered_crossover, mutation_swap",1582,0.97
23,"rank_selection_linear_ranking, ordered_crossover, mutation_inverse",1600,1.0
23,"rank_selection_linear_ranking, ordered_crossover, mutation_scramble",1600,1.01
